"다니엘라 페레즈 살해 사건 재조명, 배우 남편은 분량 욕심…아내는 애정신 질투","브라질 출신의 배우 다니엘라 페레즈의 안타까운 죽음이 재조명 되고 있다.	 29일 방송된 '신비한TV 서프라이즈'에는 브라질에서 인기를 끌던 22살의 신인 여배우가 동료 배우 부부에 의해 잔인하게 살해된 사건이 공개됐다.	 다니엘라는 1992년 매일 저녁 방영되던 일일 드라마 '몸과 마음'에 함께 드라마에 출연 중이던 길레르미의 아내 파울라에게 살해 당해 세상을 떠났다.	 왜 다니엘라를 살해했냐는 질문에 파울라는 ""질투가 났다.	 내 남편과 연인 연기를 하다니 도저히 참을 수 없었다""고 말했다.	 파울라의 남편 길레르미는 다니엘라와 극중 연인 설정이었던 터라, 애정신이 유독 많이 등장했었다고.	 격렬한 질투심에 사로잡힌 파울라는 밤잠을 설치며 망상에 빠졌고 결국 다니엘라를 살해했다.	 파울라의 배우에는 남편 길레르미가 있었던 것으로 알려졌다.	 부부가 함께 모의해 다니엘라를 살해한 것이었다.	 길레르미는 다니엘라 살인사건의 공범으로 체포됐다.	 다니엘라가 살해당하는 순간 길레르미가 현장에 있었다고 아내가 진술한 것.	 경찰 조사에서 길레르미는 ""저도 질투심 때문이었다.	 데뷔작을 통해 성공하겠다고 의지를 불태웠는데 다니엘라의 인기가 높아지면서 평범한 그의 외모가 연인 역으로 어울리지 않는다는 항의가 빗발쳤다고 한다""고 털어놨다.	 다니엘라의 인기사 치솟자 길레르미의 극중 캐릭터는 신경질적인 캐릭터로 변질됐고, 다니엘라에게 새로운 인물이 등장하기까지 했다.	비중이 극도로 줄어들어 작가에게 항의했지만 작가는 ""시청자의 요구""라고 했다.	 사실 그 드라마의 작가는 다니엘라의 엄마였기에 그의 요구는 받아들여지지 않았다고결국 아내 파울라와 모의해 다니엘라와 살해하기로 했다.	 대본 핑계로 다니엘라를 유인했고, 파울라가 흉기로 그를 살해했고, 함께 시신을 유기했다.	 길레르미 부부의 변호인은 이들이 불안한 심리상태에서 행한 우발적 범죄라고 변호했고, 파울라는 징역 19년, 길레르미는 징역 6년을 선고받았다.	 하지만 수감된 지 몇년 만에 가석방으로 풀려나 강력범 가석방 금지 서명 운동이 벌어져 해당 법안이 통과되기도 했다."
"""코로나19 지혜롭게 이겨나가길""…지니뮤직X시즌, ""집콕"" 공동 프로모션","코로나19 확산에 음악서비스 지니와 KT의 OTT 동영상 서비스인 시즌이 25일 공동 프로모션을 공개했다.	 지니와 Seezn은 ‘지니와 Seezn으로 집콕 순삭!	’ 공동 프로모션을 오는 31일까지 펼친다.	 또 양 서비스에서 총 400명을 추첨하여 푸짐한 경품을 증정한다.	지니는 매거진페이지에 아이들과 엄마가 함께 즐길 수 있는 다양한 스토리의 키즈동화 앨범 큐레이션을 공개했다.	 미취학 어린이들이 좋아하는 이솝우화, 유치원선생님이 추천하는 최신 누리과정 인기동화 총 4개의 앨범을 추천한다.	 아울러 지니 매거진 페이지에서 “집콕순삭에 추천할 영화 또는 음악”을 추천하는 고객들을 추첨해 Seezn 에서 유료 VOD를 결제할 수 있는 TV쿠폰 5천원권 , 스타벅스 기프티쇼를 제공한다.	 Seezn 의 이벤트 페이지에서 이벤트 응모 후, Seezn이 추천하는 '82년생 김지영','말모이' , '청년경찰' 등 "" 집콕 순삭하기 좋은 영화"" 를 1편 이상 시청한 고객 대상으로 추첨을 통해 Seezn에서 VOD를 감상이 가능한 TV쿠폰 5천원권과스타벅스 아메리카노 기프티쇼를 각각 100명씩 총 200명에게 증정한다.	 현재 ‘시즌 믹스 플러스’ ,‘시즌플레인 플러스’상품을 이용하는 고객은 추가로 유료상품 결제 없이 지니에서 음악감상이 가능하다.	이상헌 지니뮤직 전략마케팅단장은 “집에서 가족들과 함께 편안하게 음악과 영화를 즐길 수 있도록 지니와 시즌 플랫폼은 공동으로 큐레이션 프로모션을 열었다”며 “집에서 힐링하는 음악과 영화로 지혜롭게 코로나19를 이겨나가길 바라는 마음으로 준비했다”고 말했다."
"‘n번방’ 조주빈, ‘""손석희·윤장현·김웅"" 언급 왜 했나","미성년자 등 수십 명의 여성을 성 착취한 텔레그램 'n번방' 운영자 조주빈의 얼굴이 처음으로 공개됐다.	 이날 조주빈은 언론 앞에서 '손석희, 윤장현, 김웅'을 언급해 많은 해석을 낳게 했다.	서울지방경찰청은 25일 오전 아동·청소년의 성보호에 관한 법률 위반 등 혐의로 구속된 조주빈을 기소의견으로 검찰에 송치했다.	 서울 종로경찰서 유치장에 입감됐던 조주빈은 이날 오전 8시쯤 포토라인에 마스크를 벗고 얼굴을 드러냈다.	 목에 깁스를 착용하고 정수리 부근에 밴드를 붙인 상태였다.	  조씨는 '피해자에게 할 말이 없느냐'는 질문에 ""손석희 사장님, 윤장현 시장님,  님 저에게 피해를 입은 모든 분들께 진심으로 사죄한다.	 멈출 수 없었던 악마의 삶을 멈춰줘서 감사하다""고 말했다.	 조주빈이 왜 손석희 JTBC 사장, 윤장현 전 광주시장, 김웅   등을 언급했는지는 정확히 밝혀지지 않았다.	 서울시 경찰청 측은 “이들을 언급한 이유를 모르겠다”고 전한 것으로 알려졌다.	다만 25일 오후 4시에 손석희 JTBC 사장은 불법 취업 청탁과 금품 요구 등 공갈미수 혐의를 받고 있는 김웅  의 재판에 증인으로 출석할 예정이다.	 이 때문에 조주빈의 발언은 자신의 얼굴 공개에 따라 해당 사건이 덜 주목받게 될 것이라는 의미를 담은 것이 아니겠냐는 추측도 나오고 있다.	 조주빈은 살인죄가 아닌 성폭력범으로 신상이 공개된 첫 사례다.	 앞서 서울지방경찰청은 신상공개위원회를 열고 조주빈의 이름, 나이, 얼굴 등을 공개하기로 결정했다.	 신상공개위원회는 “피의자는 불특정 다수의 여성을 노예로 지칭하며 성착취 영상물을 제작·유포하는 등 범행 수법이 악질적·반복적이었다”고 설명했다.	조주빈은 미성년자를 포함한 여성들을 유인해 얼굴이 나오는 나체사진을 받아낸 뒤 이를 빌미로 성 착취물을 찍도록 협박하고 텔레그램을 통해 유포한 혐의를 받고 있다."
"현직 기자, N번방 가입 의혹…MBC 측 ""즉시 업무 배제, 합당 조치 취할 것""[공식]","MBC가  의 성 착취물 유포 텔레그램 박사방유료회원 가입 사실에 대해 ""진상조사 에 착수했다""고 밝혔다."
"""스포트라이트"" 조주빈의 민낯 조명…""악마"" 발언 의미는?","'이규연의 스포트라이트'에서 잔혹한 텔레그램 성범죄를 저지른 조주빈을 집중 탐사한다.2일 방송되는 JTBC '이규연의 스포트라이트'에서는 조주빈을 조명한다.	 '우당탕' 소리와 고함에 놀라 집 밖으로 나왔다는 50대 남성.	 그가 목격한 것은 7, 8년간 이웃으로 지냈던 조주빈이 형사들에게 잡혀가는 모습이었다.	 그가 기억하는 조주빈은 너무 평범해서 주의를 끌지 않았다고 한다.	 경찰이 조씨의 집을 압수수색해 발견한 것은 9대의 휴대전화와 1대의 노트북, 컴퓨터 그리고 1억 3천만 원이라는 거액의 현금이다.	 20만 원에서 많게는 150만 원까지 '박사방' 입장료를 받았던 '박사'.	 그 돈은 조씨가 성착취와 사기로 벌어들인 검은돈일까.	 조씨의 대학 시절 같이 학보사 활동을 했다는 A씨는 편집국장이었던 조씨가 원고료를 챙기기 위해 독단적으로 자신의 기사 위주로 편집하고 예산을 전용하는 등 돈에 집착하는 모습을 보였다고 말했다.	 지난 2월에 방송된 JTBC '이규연의 스포트라이트'의 ''텔레지옥' 박사Q 찾아서!'	편 취재 도중, 텔레그램을 통한 인터뷰에서 돈이 되기에 범죄를 저지른다고 말했던 ‘박사’.	 정말 돈 때문에 이토록 끔찍한 인격살인을 저지른 것일까.	 그리고 검거 한 달 전까지 장애인시설, 보육원 등에서 봉사활동을 했다는 조씨의 행적.	 조주빈의 두 얼굴은 계속해서 포착되고 있다.	 그가 두 개의 삶을 산 이유는 무엇일까.	 약 2년간의 범죄.	 사기, 협박, 유포 심지어 성폭행까지.	 현재까지 밝혀진 피해자만 70여 명 이고 그중 미성년자가 16명이다.	 끔찍하고 잔혹한 성착취 범죄로 대한민국을 경악에 빠트린 조씨는 첫 포토라인 당시 ""멈출 수 없었던 악마의 삶을 멈춰주셔서 정말 감사합니다""라며 스스로를 '악마'라 칭해 공분을 일으켰다.	 조씨의 발언은 무슨 의미였을까.	 피해자에 대한 일말의 사과와 죄책감도 없었다.	 하지만 피해자들의 고통은 계속되고 있다.	 피해자들은 지워지지 않고 계속 올라오는 사진, 영상들이 죽는 한까지 계속될 것 같다고 말하며 괴로워했다.	  대통령, 경찰청장, 법무장관까지 나서 강력 처벌을 이야기하고 있는 상황.	 과연, 반복되는 온라인 성범죄는 통제할 수 없는 것일까.	 이날 방송에서는 서지현 검사와 함께 법무부 태스크포스팀의 계획까지 들어볼 수 있다.	 한편, '이규연의 스포트라이트-	거짓말, 위협, 돈 조주빈의 민낯' 편은 2일 오후 9시 30분에 방송될 예정이다."
