GERMANY EU MIGRATION MORIA,"Press conference of German Interior Minister Horst Seehofer and EU Commission Vice President Margaritis SchinasGerman Minister of the Interior Horst Seehofer arrives for a joint press conference with EU Commission Vice President Margaritis Schinas  at the Federal Ministry of the Interior, Building and Community in Berlin, Germany, 11 September 2020.	 Seehofer announced that Germany will take 100 to 150 unaccompanied minor year old refugees from the burned down refugee camp Moria on the Greek island of Lesbos."
IRAN DEFENCE,"IRGC inaugurates new missile military base in Persian GulfA handout picture made available by Iranian revolutionary guard official website  shows, head of Iranian revolutionary guard corps  Hossein Salami  and other officials visit during an inauguration of a new missiles military base in an unknown location in Persian Gulf, 08 January 2021.	 Media reported that following Iran and US tension, Iran IRGC has inaugurated a new missile military base in Persian Gulf."
epaselect GREECE MIGRATION REFUGEES MORIA CAMP,"Tents sent to Kara Tepe camp for thousands of homeless from Moriaepaselect epa08661004 People set up tents in order to make an improvised camp for homeless refugees to the shooting range of Kara Tepe, Lesbos island, Greece, 11 September 2020.	 Tents and other equipment to set up a camp, started to be shuttled by helicopter to a Greek state property near the Kara Tepe refugee camp in Mytilene.	 Additionally, a number of police vehicles from the mainland that arrived on the morning ferry, were manned by the required officers and lined up along the route being occupied by refugees and migrants from the burnt-	out Moria camp.	 Thousands of migrants and refugees were still without shelter for a third day, following the successive fires at the Moria Reception and Identification Centre."
SPAIN DAY OF CATALONIA,"Diada Day of Catalonia celebrationsOmnium Cultural's president Marcel Mauri  and Catalonia's President Quim Torra  participate in the main event of Omnium Cultural's 20th 'Festa per la llibertat'  on the occasion of the Day of Catalonia, or 'Diada', at Lluis Companys promenade in Barcelona, Catalonia, north-	eastern Spain, 11 September 2020.	 The empty chairs symbolize the Spain's 'repression', since the named organization.	 In all, Omnium Cultural placed 2,850 empty chairs with posters with the names of sovereignists 'persecuted by Justice' that they claim they have accounted."
epaselect BELGIUM EU GREENPEACE PROTEST,"Greenpeace protest outside the European Commission in Belguimepaselect epa08660696 Greenpeace activists roll down a banner outside the European Commission building to protest against the ongoing damage to the Amazon rain forest; in Brussels, Belgium, 11 September 2020.	 According to a statement released by Greenpeace, due to the European Union's use of agrucultural products, it is responsible for over 10 percent of global forest destruction.	 Forests, including the Amazon, are often burned to clear land for agricultural use, destroying fragile ecosystems and displacing or eliminating numerous species of flora and fauna."
ITALY SCHOOLS PANDEMIC CORONAVIRUS COVID19,"Preparations at schools for the return of studentsA view of marks on the ground for social distancing in accordance with anti-	contagion measures during the preparation for the return to classes after the Covid-19 emergency lockdown at 'Duca degli Abruzzi' school, Genoa, 11 September 2020.	 Most of Italy regions' schools reopen on 14 September while the Puglia and Calabria regions have delayed reopening until the 24 September."
JAPAN BRITAIN TRADE DEAL,"Japan and Britain reached a free trade agreementJapanese Foreign Minister Toshimitsu Motegi  speaks with Britain's Secretary of State of International Trade Liz Truss during a video conference in Tokyo, Japan, 11 September 2020.	 Trade negotiations between Japan and Britain reached an agreement as Foreign Minister Motegi and UK Secretary of State of International Trade Truss had a final discussion during a video conference and agreed on tariffs for Japanese cars and British agricultural products."
BRITAIN JAPAN TRADE DEAL,"Free Trade agreement with JapanAn undated handout photo made available by  British Department of International Trade on 11 September 2020 shows British Secretary of State for International Trade Liz Truss  during a video conference call with Japan's Foreign Minister Motegi Toshimitsu in London, Britain.	 On 11 September 2020 Britain has announced that it had secured a free trade deal with Japan, the country's first major post-	Brexit agreement."
LEBANON BEIRUT PORT FIRE,"Fire at port of BeirutFirefighters extinguish a fire in warehouses broke out on 10 September at the port of Beirut, Lebanon, 11 September 2020.	 A fire broke out on 10 September in an oils and tires warehouse in the port's duty-	free zone, just weeks after the 04 August Beirut port blast in which at least 190 people died, more than 6,000 were injured, and the port area and large parts of the city were devastated.	 According to reports, the fire is brought under control."
SINGAPORE ECONOMY SIA JOB CUTS,"Singapore Airlines cuts 2400 staff membersTwo staff members use a terminal at a Singapore Airlines information counter in the departure hall of the Changi Airport in Singapore, 11 September 2020.	 Singapore Airlines  has announced that it will cut 2400 staff members affecting pilots, cabin crew, and ground staff, in the wake of the economic fallout from the Covid-19 coronavirus pandemic which saw the flag carrier report losses of over 1 billion SGD in the first quarter of 2020."
USA NEW YORK 9/11 ANNIVERSARY,"19th Anniversary 911 Ceremony New York New York State Governor Andrew Cuomo, Jill Biden along with her husband, Former US Vice President Joseph Biden, Former Mayor of New York Michael Bloomberg, Vice President Mike Pence, wife Karen and Governor of New Jersey Phil Murphy stand at attention during the playing of the National Anthem at the 19th anniversary commemoration ceremony  of the 11 September 2001 terrorist attack on the World Trade Center in New York, USA, 11 September 2020."
epaselect LEBANON BEIRUT PORT FIRE,"Fire at port of Beirutepaselect epa08660806 Firefighters extinguish a fire in a warehouse at the port of Beirut, Lebanon, 11 September 2020.	 A fire broke out on 10 September in an oils and tires warehouse in the port's duty-	free zone, just weeks after the 04 August Beirut port blast in which at least 190 people died, more than 6,000 were injured, and the port area and large parts of the city were devastated.	 According to reports, the fire is brought under control."
SPAIN WEATHER,"Red alert in Madrid due to heavy snowfallsChildren enjoy as their father pulls their sledge across an unusual snow-	covered landscape past the statue of General Martinez Campos in El Retiro park in Madrid, Spain, 08 January 2021.	 A total of eight parks will be closed to public in the Spanish capital as a red warning has been issued in Madrid because of heavy snowfalls expected due to storm Filomena that has already caused a big drop in temperatures and snowfalls throughout Spain except for the Canary Islands."
CHINA BAIDU SELF DRIVING TAXI,"Baidu rolls out self-	driving taxi service in BeijingA test car of Baidu self-	driving taxi drives on a road in Beijing, China, 11 September 2020.	 Chinese Internet giant Baidu rolls out its self-	driving taxi service named 'Apollo Go' in Beijing.	 About 40 autonomous cabs are put into a trial operation initially in a trial area with a total 700 km, covering Beijing's major residential and business districts in the Yizhuang, Haidian and Shunyi districts."
epaselect SPAIN DAY OF CATALONIA,"Diada Day of Catalonia celebrationsepaselect epa08660796 Members of 'Omnium Cultural' hold bengals with the colors of Catalonia flag as they celebrate their 20th 'Festa per la llibertat'  to mark the Day of Catalonia, or 'Diada', in Barcelona, Catalonia, north-	eastern Spain, 11 September 2020.	 Omnion Cultural fights for the independence of Catalonia, sometimes, in the recent years, in a radical way."
POLAND VISEGRAD GROUP MEETING,"Visegrad Group prime ministers meeting in Lublin Slovak Prime Minister Igor Matovic, Polish Prime Minister Mateusz Morawiecki, Hungarian Prime Minister Viktor Orban and Czech Prime Minister Andrej Babis during official welcome ceremony before the Visegrad Group prime ministers meeting in Lublin, eastern Poland, 11 September 2020.	 Visegrad Group PM's exchange opinions before the forthcoming extraordinary EU summit and will speak about the situation in Belarus and Russia, as well as about the fight against COVID-19."
epaselect PHILIPPINES PROTEST FERDINAND MARCOS HOLIDAY,"Protest against former president Ferdinand Marcos and proposed holiday in his honorepaselect epa08660522 Protesters hold signs and a composite image of Philippine President Rodrigo Duterte and former president Ferdinand Marcos during a demonstration at the Bantayog ng mga Bayani  in Quezon City, Metro Manila, Philippines, 11 September 2020.	 According to reports, a bill at Congress is seeking to declare 11 September a special holiday to commemorate the birth of former political strongman Ferdinand Marcos in his home province of Ilocos Norte."
POLAND MARTIAN ROBOT COMPETITION,"International Martian Robot Competition in KielceA competitor adjusts a robot vehicle for the 5th edition of the International Martian Robot Competition in Kielce, south-	central Poland, 11 September 2020.	 The European Rover Challenge  is a competition of Martian robots built by student teams and will run until 15 September.	 The ERC is the European version of the 'University Rover Challenge' held in the United States."
INDONESIA PANDEMIC CORONAVIRUS COVID-19,"Authorities to reimpose large-	scale coronavirus restrictionsA street vendor rides past a mockup coffin of a COVID-19 victim installed on a sidewalk as part of the health protocol campaign against the coronavirus pandemic in Jakarta, Indonesia, 11 September 2020.	 Jakarta's authorities have decided to reimpose the large-	scale coronavirus restrictions, locally known as 'PSBB' amid a rise in COVID-19 daily infections.	 The capital city will return to local lockdown on 14 September."
GERMANY RUSSIA OPPOSITION NAVALNY,"Russian opposition leader Navalny out of induced comaSilhouettes of pedestrians in front the Charite hospital where Russian opposition leader Alexei Navalny is hospitalized in Berlin, Germany, 11 September 2020.	 According to the announcement of the Charite hospital, Alexei Navalny has been taken out of an induced coma.	 Navalny is treated at the Charite hospital in Berlin since 22 August 2020 for being poisoned with a nerve agent from the Novichok group."
TAIWAN CHINA DEFENSE,"Taiwan president visits missile base amid tension with ChinaA handout photo made available by Taiwan's Presidential Office shows President Tsai Ing-	wen  visiting a missile base in northern Taiwan, 11 September 2020, as China intensifies military threat against Taiwan.	 Tsai thanked the soldiers for guarding Taiwan's sky and keeping Taiwan safe.	 She urged them 'not give an inch' in defending Taiwan's sovereignty, democracy and freedom."
SRI LANKA PANDEMIC CORONAVIRUS COVID-19,"Coronavirus pandemic in Sri LankaA Sri Lankan health worker wearing protective gear has his body sprayed with disinfectant after he performs COVID-19 tests at a rehabilitation center in Colombo, Sri Lanka, 11 September 2020.	 The Sri Lankan government has lifted the majority of coronavirus restrictions, which were implemented nearly six months ago, and is preparing for a full reopening of businesses and activities in an effort to avoid an economic slump."
9ㆍ11 테러 19주기 맞아 성조기 내건 미국 국방부 청사, '9.11 테러' 19주기를 맞아 11일 일출 무렵에 버지니주 알링턴에 있는 국방부 청사에 성조기가 내걸려 있다.
epaselect USA CAPITOL RIOT AFTERMATH,"Aftermath the day after a mob of Trump supporters rioted at the US Capitolepaselect epa08925412 'The Peace Monument' is seen at the West Front of the US Capitol the day after Trump supporters stormed the US Capitol, in Washington, DC, USA, 07 January 2021.	 A mob of Trump supporters rioted at the US Capitol, storming inside the building, as Congress began counting the electoral college votes.	 Despite efforts by the mob to stop it, Congress certified Joe Biden's presidential election victory over US President Donald J.	 Trump."
(FILE) MOROCCO DIPLOMACY LIBYA,"Delegates reach an agreement at Libyan-	Libyan consultations in Morocco -	 Moroccan Foreign Minister Nasser Bourit  and members of delegations pose for a family photo at the Libyan Dialogue conference on Libya in Bouznika, Morocco, 06 September 2020 .	 Al Jazeera on 11 September 2020 reported that delegates from rivaling Libyan govermnents had reached an agreement for the criteria of appointments at important Libyan institutions."
AFGHANISTAN DOHA INTRA AFGHAN PEACE NEGOTIATIONS,"Intra-	Afghan negotiations to be held in DohaA handout photo made available by the Afghanistan Peace Grand Council shows Afghanistan Peace Grand Council chief, Abdullah Abdullah  talks with journalists as he leaves Kabul for the opening ceremony of Intra-	Afghan Peace Negotiations in Doha, Qatar in the Kabul airport, Afghanistan, 11 September 2020.	 The United States, Taliban and Afghanistan government delegations officially will start the intra-	Afghan negotiations on 12 September 2020."
베이징에서 시범 서비스 나선 바이두의 자율주행 택시," 중국의 최대의 검색 업체 바이두가 개발한 시범용 자율주행 택시가 11일 베이징 시내의 도로를 달리고 있다.	 바이두는 베이징의 요지에 약 40대의 택시를 투입,'아폴로 고' 자율주행 택시의 시범 서비스에 착수했다."
대만 방공식별구역 침범 중국 군용기 항적," 중국 군용기들이 지난 9일과 10일에 대만의 방공식별구역을 침범했다며 대만 국방부가 이들의 항적을 표시한 지도.	 대만 국방부는 SU-30, J-10, Y-8 등 전투기와 수송기가 이틀 동안 총 30여 차례 비행했으며 이 중 21차례는 ADIZ에 진입했다고 밝혔다."
SPAIN ITALY TERRORISM,"Alleged Italian terrorist arrested in MarbellaA Policia Nacional handout picture shows an Italian citizen  as she is scorted after being arrested in Marbella, Malaga province, Andalusia region, on 10 September .	 An international warrant was issued against this woman for allegedly being one of the heads of neofascist and terrorist organization Nuclei Armati Rivoluzionari ."
SPAIN CORONAVIRUS TRACKERS,"Spanish army to help in the traces against Covid-19A member of the UME  works as a rastreator of contacts of Covid-19 patients at Torrejon de Ardoz air base in Madrid province, central Spain, 11 September 2020, as part of the 'Baluarte Operation'.	 By the named operation, UME's military men and women help to fight against Coronavirus by tracing contacts of people with a possitive RPC on Covid-19, so as the virus stop spreading."
USA TRUMP 9/11 ANNIVERSARY,"United States President Donald Trump and First lady Melania Trump board Air Force OneUS President Donald Trump  and First lady Melania Trump  board Air Force One to attend a Flight 93 National Memorial 19th Anniversary of the 9/11 terrorist attack Observance in Shanksville, Pennsylvania, at Joint Base Andrews in Washington, DC, USA, 11 Spetember 2020."
SPAIN ALCOA WORKERS PROTEST,"Alcoa San Cibrao's workers protestWorkers of Alcoa San Cibrao aluminium plant demonstrate in support of the potential sale of the aluminium plant to GFG Alliance, in Lugo, Galicia, north-	western Spain, 11 September 2020.	 The placard reads 'Not only Tourism makes money'.	 GFG Alliance ia an organisation that publicly expressed interest in acquiring the facility."
POLAND ANIMALS,"Young zebra in Zoo WroclawA young zebra stands in his enclosure in Zoo Wroclaw, in Wroclaw, Poland, 11 September 2020."
ITALY GOVERNMENT,"Presentation of the 2019 Blue Book at the Customs and Monopolies AgencyCo-	founder of Five-	Star movement  Beppe Grillo  and Italian Foreign Minister Luigi Di Maio  during the presentation of the 2019 Blue Book at the Customs and Monopolies Agency, Rome, Italy, 11 September 2020."
epaselect PHILIPPINES BELIEF BLACK NAZARENE,"Devotees flock to Quiapo Church on the eve of the Feast of the Black Nazareneepaselect epa08925622 A devotee raises her hands during mass outside Quiapo Church on the eve of the Feast of the Black Nazarene in Manila, Philippines, 08 January 2021.	 The procession, held annually on 09 January and which gathers thousands of devotees, has been cancelled due to the COVID-19 pandemic.	 Despite the cancellation the image of the Black Nazarene will be displayed for devotees to view at the Quiapo Church in Manila.	  EPA/MARK R."
SPAIN FRANCE ARTS,"French artist Philippe Pasqua presents The Dark Side exhibition in MalagaFrench artist Philippe Pasqua poses in front of his artwork 'La Cene' during the preview of the exhibition 'The Dark Side' at the Contemporary Arts Center  in Malaga, Spain, 11 September 2020.	 Pasqua's first solo exhibition in Spain, running from 11 September to 29 November, reviews his work from the last three decades."
NETHERLANDS SOCCER,"PSV Eindhoven training sessionPSV Eindhoven players Denzel Dumfries  and Cody Gakpo  during the team's training session at PSV Campus De Herdgang in Eindhoven, The Netherlands, 11 September 2020."
USA BOSTON 9/11 ANNIVERSARY,"19th Anniversary of the World Trade Center attackA man places his hand on the stone at the 'Garden of Remembrance' on the 19th anniversary of the attacks on the New York City World Trade Center Towers, in Boston, Massachusetts, USA, 11 September 2020.	 Names of Massachusetts family members lost in the attack are inscribed in the stone monument that is located in the Boston Public Garden."
GERMANY WEATHER,"Nature reserve Westruper HeathlandThe sunrise at the nature reserve Westruper Heathland near Haltern am See, Germany, 11 September 2020.	 According to weather forecast, the next days are expected to bring temperatures reaching up to 30 degrees Celsius in Germany as well as in other parts of Europe."
ITALY FORMULA ONE GRAND PRIX,"Formula One Grand Prix of TuscanyRussian Formula One driver Daniil Kvyat of Scuderia AlphaTauri Honda in action during the first practice session of the Formula One Grand Prix of Tuscany at the race track in Mugello, Italy 11 September 2020.	 The 2020 Formula One Grand Prix of Tuscany will take place on 13 September 2020."
USA PENTAGON 9/11 ANNIVERSARY,"19th Anniversary of the 9/11 terrorist attacks on the PentagonAn American flag is unfurled at sunrise to mark the 19th anniversary of the 9/11 terrorist attack on the Pentagon in Arlington, VA, USA, 11 September 2020.	 Anniversary ceremonies are also being held in New York at Ground Zero and in Shanksville, Pennsylvania at the Flight 93 memorial."
NETHERLANDS POLITICS GOVERNMENT,"Weekly cabinet meetingDutch Prime Minister Mark Rutte eats an apple as he arrives on a bicycle for the weekly cabinet meeting at the Binnenhof, in The Hague, The Netherlands, 11 September 2020.	 The Binnenhof is a complex of government buildings in The Hague that also houses the office of the Dutch Prime Minister."
ITALY MOTORCYCLING GRAND PRIX,"Motorcycling Grand Prix of San MarinoRepsol Honda's German rider Stefan Bradl in action during a practice session for the motorcycling Grand Prix of San Marino at the Misano World Circuit Marco Simoncelli, Italy, 11 September 2020."
BELGIUM NATO 9/11 ANNIVERSARY,"19th Anniversary of 9/11 terror attackNATO Secretary General Jens Stoltenberg  and US Ambassador to NATO Kay Bailey Hutchison  observe a minute of silence during a ceremony marking the 19th anniversary commemoration ceremony  of the 11 September 2001 terrorist attack on the World Trade Center, at NATO headquarters in Brussels, Belgium, 11 September 2020."
GERMANY CROATIA DIPLOMACY,"Croatian President Zoran Milanovic visits BerlinGerman honour guards keep in distance as during the welcoming ceremony for Croatia's President Zoran Milanovic at German President Frank-	Walter Steinmeier's residence Bellevue Palace in Berlin, Germany, 11 September 2020.	 Croatian President Zoran Milanovic is on a one-	day state visit to Germany."
