"백악관에 내걸린 ""의회 폭동 순직 경찰 추모"" 조기"," 10일 미국 워싱턴DC 백악관 지붕 위에 나흘 전 의회 폭동 사태 진압 과정에서 순직한 경찰관을 추모하기 위한 조기가 내걸려 있다.	 도널드 트럼프 미국 대통령은 의회 폭동을 선동했다는 비판 속에 당시 순직한 경찰관을 추모하기 위한 조기를 게양하라는 포고령에 이날 뒤늦게 서명했다.	     <저작권자 연합뉴스, 무단 전재-"
미 뉴욕 타임스스퀘어 작년과 올해 세밑 풍경," 매년 성대한 새해맞이 행사가 열리던 미국 뉴욕 타임스스퀘어의 작년과 올해 세밑 풍경을 위아래로 배치한 사진.	 위 사진은 작년 12월 31일 타임스스퀘어 7번가를 가득 메운 관중 사이로 경찰이 경찰견을 데리고 순찰하는 모습.	 아래 사진은 올해 31일 신종 코로나바이러스 감염증 확산 방지를 위한 행사 축소와 출입 통제로 인적이 끊긴 타임스스퀘어의 세밑 풍경을 담고 있다.	     <저작권자 연합뉴스, 무단 전재-"
"중국 상하이 법원에 도착한 ""시민기자"" 장잔 변호인"," 올해 초 신종 코로나바이러스 감염증이 처음 확산한 중국 후베이성 우한 지역 상황을 취재해 실상을 알린   장잔의 변호인이 28일 상하이 푸동신구 인민법원 앞에 도착한 가운데 경찰이 취재진의 접근을 막고 있다.	 이날 법원은 '공중소란' 혐의를 받는 장잔에 대해 징역 4년을 선고했다.	     <저작권자 연합뉴스, 무단 전재-"
미 내슈빌 폭발사건 연관된 레크리에이션 차량," 성탄절인 25일 레크리에이션 차량 한 대가 미국 테네시주 내슈빌 도로를 달리고 있다.	 내슈빌 경찰이 이날 아침 총소리가 들린다는 신고를 받고 출동한 가운데 이 차량은 15분 후면 폭탄이 터질 것이라고 녹음된 메시지가 흘러나온 뒤 폭발했다.	       <저작권자 연합뉴스, 무단 전재-"
코로나19 탓에 성탄절 이동 차단된 이탈리아," 이탈리아 경찰이 바티칸시티의 성베드로 대성당 앞에서 24일 통행하는 차량들을 검문하고 있다.	 이탈리아인들은 신종코로나바이러스감염증 봉쇄 조치로 근로와 건강상의 이유 등을 제외하고는 타지 여행이 금지돼 있다.	         <저작권자 연합뉴스, 무단 전재-"
카불 부주지사 탑승 차량 폭발 현장에 출동한 아프간 경찰," 15일 아프가니스탄의 수도 카불에서 일어난 차량 폭발 현장에 경찰이 출동해 일대를 살피고 있다.	 이 폭발로 마흐보불라 모히비 카불 부주지사와 그의 비서가 숨졌으며 경호원 2명은 부상했다.	 차량에 폭탄을 부착한 괴한의 정체는 아직 파악되지 않는다고 아프간 당국자는 전했다.	     <저작권자 연합뉴스, 무단 전재-"
반정부 시위대 진로 차단하는 폴란드 경찰," 폴란드 수도 바르샤바 시내에서 13일 진압경찰이 야로슬라프 카친스키 집권당 대표의 자택으로 향하는 반정부 시위대의 진로를 막고 있다.	 이날 바르샤바에서는 수천명의 시민들이 낙태 제한 결정에 반대하며 대대적인 시위를 벌였다.	      <저작권자 연합뉴스, 무단 전재-"
무장 괴한 습격후 학생 300여명 실종된 나이지리아 학교," 12일 나이지리아 북부 카트시나주 칸카라에 있는 국립 과학 중등학교에서 무장 괴한의 습격으로 학생 300여 명이 실종되자 학부모가 몰려와 구출을 촉구하고 있다.	 경찰은 전날 AK-47 소총으로 무장한 괴한들이 이 기숙학교를 습격했으며, 이후 839명의 학생 가운데 333명이 실종됐다고 밝혔다.	     <저작권자 연합뉴스, 무단 전재-"
"경찰에 체포된 미국 코로나19 ""슈퍼전파자"" 파티 참가자들"," 지난 5일 밤부터 6일 새벽까지 미국 캘리포니아주 팜데일에서 벌어진 신종 코로나바이러스  감염증 '슈퍼전파자' 파티 참가자들이 현장을 급습한 경찰에 의해 체포된 모습.	 당국은 8일 158명이 체포됐으며 이 가운데 35명은 청소년이었다고 밝혔다.	      <저작권자 연합뉴스, 무단 전재-"
무장반군이 불태운 순찰차를 살피는 필리핀 경찰," 4일 필리핀 남부 민다나오섬 다투피앙 지역에서 경찰관이 불에 탄 순찰차를 살피고 있다.	 극단주의 무장세력 '이슬람국가'와 연계된 '방사모로이슬람자유전사단' 소속으로 추정되는 반군 30~50명이 전날 군부대를 습격, 정부군과 총격전을 벌이다 퇴각하면서 경찰 순찰차에 불을 질렀다.	     <저작권자 연합뉴스, 무단 전재-"
